Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,586,0.522590,0.398390,42.773438,1.218002,12.821202
1,3,10.1.3.1,10.1.3.6,1024,729,0.650116,0.427062,28.808594,1.023127,12.788650
2,5,10.1.3.2,10.1.3.6,1024,596,0.531508,0.478620,41.796875,1.107201,12.796368
4,7,10.1.3.4,10.1.3.6,1024,601,0.535967,0.541477,41.308594,1.184397,12.807611
3,8,10.1.3.3,10.1.3.6,1024,248,0.221164,0.257132,75.781250,0.667021,12.764509
