Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.6,1024,819,0.730377,0.422335,20.019531,1.291866,12.835903
1,3,10.1.3.1,10.1.3.6,1024,748,0.667060,0.381424,26.953125,1.036444,12.820778
5,5,10.1.3.5,10.1.3.6,1024,684,0.609985,0.438744,33.203125,1.036556,12.812225
3,7,10.1.3.3,10.1.3.6,1024,687,0.612661,0.577782,32.910156,1.194263,12.830721
4,9,10.1.3.4,10.1.3.6,1024,3,0.002675,0.333625,99.707031,0.336319,12.779404
