Flow ID,Delay (s)
1.000000,0.262563
1.000000,0.440204
1.000000,0.465074
1.000000,0.309279
1.000000,0.499021
3.000000,0.485155
3.000000,0.486500
3.000000,0.443502
3.000000,0.552727
3.000000,0.472014
5.000000,0.245464
5.000000,0.297383
5.000000,0.210601
5.000000,0.557674
5.000000,0.458046
