Flow ID,Delay (s)
1.000000,0.290975
1.000000,0.446911
1.000000,0.452053
1.000000,0.307318
1.000000,0.483689
3.000000,0.436296
3.000000,0.491373
3.000000,0.377475
3.000000,0.559759
3.000000,0.447276
5.000000,0.260907
5.000000,0.297383
5.000000,0.287423
5.000000,0.547385
5.000000,0.416073
