Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.6,1024,878,0.782993,0.406472,14.257812,1.509996,12.841225
1,3,10.1.3.1,10.1.3.6,1024,895,0.798153,0.333195,12.597656,0.891680,12.823796
5,5,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.225957,12.384838
3,6,10.1.3.3,10.1.3.6,1024,603,0.537750,0.403632,41.113281,0.975549,12.807344
4,8,10.1.3.4,10.1.3.6,1024,428,0.381687,0.279391,58.203125,0.667761,12.827235
