Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Latency (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.11,1024,886,0.790127,0.269283,13.476562,1.286450,12.828159
4,4,10.1.3.4,10.1.3.11,1024,687,0.612661,0.428086,32.910156,1.416392,12.839445
3,8,10.1.3.3,10.1.3.11,1024,687,0.612661,0.423728,32.910156,1.406074,12.813163
1,12,10.1.3.1,10.1.3.11,1024,760,0.677762,0.383436,25.781250,1.436839,12.823550
