Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
1,1,10.1.3.1,10.1.3.4,1024,961,0.857012,0.446911,6.152344,1.201941,12.832619
3,3,10.1.3.3,10.1.3.4,1024,1009,0.899818,0.491373,1.464844,1.222431,12.833730
2,5,10.1.3.2,10.1.3.4,1024,3,0.002675,0.297383,99.707031,0.299316,12.756733
