Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,672,0.599284,0.469011,34.375000,1.107720,12.747274
1,2,10.1.3.1,10.1.3.6,1024,743,0.662601,0.487855,27.441406,1.183622,12.753792
3,5,10.1.3.3,10.1.3.6,1024,788,0.702732,0.403885,23.046875,0.997877,12.748057
4,7,10.1.3.4,10.1.3.6,1024,341,0.304101,0.267563,66.699219,0.664643,12.716824
2,9,10.1.3.2,10.1.3.6,1024,3,0.002675,0.388815,99.707031,0.391557,12.698141
