Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.028723,11.623517
1,2,10.1.3.1,10.1.3.6,1024,980,0.873956,0.348316,4.296875,0.894380,12.751720
3,4,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.082507,11.623517
4,5,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.112340,11.623517
2,6,10.1.3.2,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.312884,12.718504
