Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.01247531322836876],[0.43983333333333335],[0.0015364609345793724],[0.9379],[2930.154321555],65.61095907000126,26091520000,2024-07-14 15:44:23
client 3,[0.008680944377804796],[0.6039],[0.0010520546795101835],[0.9585],[3318.40684841],71.29680274898821,26091520000,2024-07-14 17:28:34
client 5,[0.0059267243329435585],[0.7365],[0.0011392326815985144],[0.9537],[3227.3612376670003],67.801627364999,26091520000,2024-07-14 19:09:35
