Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.4,1024,963,0.858795,0.305997,5.957031,1.228881,12.782132
1,3,10.1.3.1,10.1.3.4,1024,917,0.817773,0.301065,10.449219,0.863010,12.762124
3,5,10.1.3.3,10.1.3.4,1024,856,0.763373,0.483131,16.406250,1.084743,12.777609
