Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.010924979854747652],[0.5045666666666667],[0.0011568104175385088],[0.1517],[3286.900058529],74.0104783420083,26091520000,2024-07-11 19:35:46
client 1,[0.01247531322836876],[0.43983333333333335],[0.0015364609345793724],[0.1379],[2930.154321555],65.61095907000126,26091520000,2024-07-14 15:44:23
client 1,[0.01355136607165138],[0.37655],[0.002363866749033332],[0.1025],[2782.760513825],62.097318447009286,26091520000,2024-07-12 20:09:56
client 3,[0.008680944377804796],[0.6039],[0.0010520546795101835],[0.9885],[3318.40684841],71.29680274898821,26091520000,2024-07-14 17:28:34
client 3,[0.006152446951965491],[0.7220333333333333],[0.0009962294378783555],[0.9784],[2970.262687769],65.8192417730066,26091520000,2024-07-12 23:13:41
client 3,[0.007073712565253179],[0.6756833333333333],[0.0008768491216236726],[0.9725],[2825.1362578539997],62.41455807000084,26091520000,2024-07-11 22:31:32
client 5,[0.0059267243329435585],[0.7365],[0.0011392326815985144],[0.3537],[3227.3612376670003],67.801627364999,26091520000,2024-07-14 19:09:35
client 5,[0.008543094568451245],[0.6091333333333333],[0.0010540040386840701],[0.3548],[3096.933812665],68.71484423598977,26091520000,2024-07-12 21:45:13
client 5,[0.008722788889333605],[0.6100166666666667],[0.0013772998633328826],[0.3415],[2990.498274959],67.6253056710029,26091520000,2024-07-11 21:08:27
