Flow ID,Delay (s)
1.000000,0.416224
1.000000,0.487197
1.000000,0.440336
1.000000,0.486616
1.000000,0.398390
2.000000,0.492275
3.000000,0.352205
3.000000,0.449201
3.000000,0.375829
3.000000,0.427062
5.000000,0.428929
5.000000,0.404931
5.000000,0.478620
5.000000,0.410353
5.000000,0.531592
7.000000,0.541477
7.000000,0.484525
7.000000,0.457831
7.000000,0.522094
7.000000,0.212009
