Flow ID,Delay (s)
1.000000,0.422335
1.000000,0.472153
1.000000,0.469011
1.000000,0.513818
1.000000,0.396461
2.000000,0.487855
3.000000,0.381424
3.000000,0.420660
3.000000,0.374079
3.000000,0.443921
5.000000,0.440696
5.000000,0.433218
5.000000,0.432835
5.000000,0.403885
5.000000,0.438744
7.000000,0.503684
7.000000,0.267563
7.000000,0.489893
7.000000,0.577782
7.000000,0.307941
