Flow ID,Throughput (Mbps)
1.000000,0.902493
1.000000,0.857012
1.000000,0.859687
1.000000,0.887332
1.000000,0.816881
3.000000,0.857012
3.000000,0.899818
3.000000,0.895359
3.000000,0.844527
3.000000,0.675086
5.000000,0.002675
5.000000,0.002675
5.000000,0.002675
5.000000,0.884657
5.000000,0.674194
