Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
3,1,10.1.3.3,10.1.3.6,1024,621,0.553802,0.513818,39.355469,1.366577,12.789939
4,3,10.1.3.4,10.1.3.6,1024,737,0.657250,0.374079,28.027344,1.054877,12.783636
1,5,10.1.3.1,10.1.3.6,1024,672,0.599284,0.433218,34.375000,1.170352,12.782290
5,7,10.1.3.5,10.1.3.6,1024,476,0.424493,0.489893,53.515625,1.035976,12.770959
2,8,10.1.3.2,10.1.3.6,1024,470,0.419142,0.310097,54.101562,0.782238,12.773848
