Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 6,[0.012226053486267726],[0.4464166666666667],[0.0014518466578796506],[0.9419],[3586.107696861],77.47343993300821,26091520000,2024-07-13 16:03:31
client 1,[0.00830595798889796],[0.6201833333333333],[0.0014817562682554125],[0.9393],[3644.113661879],78.63703258700028,26091520000,2024-07-13 17:59:16
client 8,[0.006379927132402857],[0.7147],[0.0008905189155600965],[0.9634],[3037.4387192579998],67.45560760500483,26091520000,2024-07-13 19:29:06
client 3,[0.005392091874529918],[0.76145],[0.0006972428990178742],[0.9706],[2599.224497104],59.37041962099755,26091520000,2024-07-13 20:44:18
