Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 11,[0.014176913685599963],[0.3552166666666667],[0.0018206242460757495],[0.9271],[2731.478454341],65.07040004499595,26091520000,2024-07-04 09:57:08
client 5,[0.007991660611703992],[0.6293833333333333],[0.0010729244180954993],[0.9569],[2570.310657316],60.35053973199914,26091520000,2024-07-04 11:10:26
client 1,[0.006052658164004485],[0.7277833333333333],[0.0009691129097132943],[0.9582],[2649.456878224],61.07539363400099,26091520000,427201831.17206657,2024-07-04 12:25:38
client 1,[0.013435561668127776],[0.38743333333333335],[0.001749786078184843],[0.9301],[2819.759028563],69.86391211100391,26091520000,2024-07-05 09:41:51
client 10,[0.007828935193394622],[0.6470833333333333],[0.0009779690463095903],[0.9589],[2676.635716485],63.54180997799212,26091520000,2024-07-05 10:58:52
client 5,[0.005714076393718521],[0.7443666666666666],[0.0008327122901100665],[0.9659],[2724.165099671],62.908271169005324,26091520000,2024-07-05 12:16:34
client 14,[0.005949607230474552],[0.7308],[0.0006839339409139938],[0.9701],[2840.1341550969996],66.70407644300991,26091520000,2024-07-05 13:38:49
client 13,[0.006021028906355302],[0.73095],[0.0007497626315336674],[0.9681],[3197.107673999],71.50776293800517,26091520000,2024-07-05 15:15:07
client 19,[0.005831083129532635],[0.7430333333333333],[0.0007407512629870325],[0.9674],[2426.4878573610004],59.47565958199729,26091520000,2024-07-05 16:24:34
