Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
3,1,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.010659,11.623517
4,2,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.042630,11.623517
1,3,10.1.3.1,10.1.3.6,1024,976,0.870388,0.295440,4.687500,0.920760,12.806127
5,5,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.283916,11.623517
2,6,10.1.3.2,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.286014,11.807506
