Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
3,1,10.1.3.3,10.1.3.6,1024,618,0.551127,0.486616,39.648438,1.274563,12.813798
4,3,10.1.3.4,10.1.3.6,1024,522,0.465515,0.375829,49.023438,1.084453,12.812645
1,5,10.1.3.1,10.1.3.6,1024,693,0.618011,0.404931,32.324219,1.187147,12.819239
5,7,10.1.3.5,10.1.3.6,1024,541,0.482459,0.457831,47.167969,1.023025,12.831909
2,8,10.1.3.2,10.1.3.6,1024,439,0.391496,0.393214,57.128906,0.990376,12.797722
