Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 9,[0.012370090115070342],[0.44135],[0.001500655173137784],[0.9423],[3023.2378492039998],69.18304148999012,26091520000,2024-07-07 13:34:53
client 7,[0.00838725412103037],[0.6093333333333333],[0.0008399608033127151],[0.9646],[2706.4145595349996],67.03245872400727,26091520000,2024-07-07 14:52:28
client 10,[0.00763735647474726],[0.6532333333333333],[0.0010049645862542094],[0.9586],[2696.028118122],64.93005718099337,26091520000,2024-07-07 16:09:46
client 1,[0.005619395001543065],[0.7488833333333333],[0.0008817088457988575],[0.9622],[3324.726603358],73.40307747599411,26091520000,2024-07-07 17:48:15
client 5,[0.005465788005913298],[0.75875],[0.0007657424338976853],[0.9683],[3194.904245929],72.66247411699311,26091520000,2024-07-07 19:21:34
client 3,[0.005277428480734428],[0.7613166666666666],[0.0006886977838352322],[0.9705],[3149.292912905],69.75993379199011,26091520000,2024-07-07 20:53:47
