Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 8,[0.012514283006141583],[0.4326],[0.0013996636025607587],[0.944],[3283.356487884],73.94712411900468,26091520000,2024-07-20 14:17:31
client 3,[0.009405539655064543],[0.5708166666666666],[0.001160570254549384],[0.9518],[2911.24340987],64.65153143200737,26091520000,2024-07-20 15:43:56
client 6,[0.007013309886058172],[0.6787333333333333],[0.0009683549580629915],[0.9583],[2722.133080274],62.49432406100097,26091520000,2024-07-20 17:02:11
client 1,[0.005916964647360146],[0.73245],[0.0008059261256130412],[0.9663],[2689.985988652],62.20064157000373,26091520000,2024-07-20 18:19:36
