Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.013396,11.623517
1,2,10.1.3.1,10.1.3.6,1024,1006,0.897142,0.124534,1.757812,0.414933,12.717621
2,4,10.1.3.2,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.131842,11.740172
4,5,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.202362,11.623517
3,6,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.232046,11.623517
