Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,571,0.509213,0.440336,44.238281,1.084601,12.762968
1,2,10.1.3.1,10.1.3.6,1024,704,0.627821,0.492275,31.250000,1.216445,12.750800
3,5,10.1.3.3,10.1.3.6,1024,587,0.523482,0.410353,42.675781,1.157921,12.742079
4,7,10.1.3.4,10.1.3.6,1024,601,0.535967,0.484525,41.308594,1.085704,12.754748
2,9,10.1.3.2,10.1.3.6,1024,3,0.002675,0.299922,99.707031,0.304426,12.704515
