Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.007861547702550887],[0.6391833333333333],[0.0010120580411050468],[0.7584],[2763.731866368],59.68653544200269,26091520000,2024-07-15 15:22:33
client 3,[0.005846200561150908],[0.74065],[0.0008374481375562027],[0.6657],[2713.0787954330003],60.87237027000469,26091520000,2024-07-15 16:41:26
client 6,[0.005558823859319091],[0.7500833333333333],[0.0007454693784704432],[0.8291],[2741.005632876],63.95117308398678,26091520000,2024-07-15 18:01:18
client 8,[0.013036571918179592],[0.38961666666666667],[0.0015402120977640152],[0.8387],[2747.0819390469997],63.32789129400669,26091520000,2024-07-15 14:03:20
client 9,[0.005916964647360146],[0.73245],[0.0008059261256130412],[0.8390],[2689.985988652],62.20064157000373,26091520000,2024-07-15 18:01:30
