Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 8,[0.013036571918179592],[0.0],[0.0000000000000000000],[0.0000],[0.00000000000],0.0,26091520000,2024-07-16 14:03:20
client 1,[0.007861547702550887],[0.6391833333333333],[0.0010120580411050468],[0.2584],[2763.731866368],59.68653544200269,26091520000,2024-07-16 15:22:33
client 3,[0.005846200561150908],[0.74065],[0.0008374481375562027],[0.7657],[2713.0787954330003],60.87237027000469,26091520000,2024-07-16 16:41:26
client 6,[0.005558823859319091],[0.7500833333333333],[0.0007454693784704432],[0.5294],[2741.005632876],63.95117308398678,26091520000,2024-07-16 18:01:18
client 9,[0.905916964647360146],[0.0],[0.0000000000000000000],[0.0000],[0.00000000000],0.0,26091520000,2024-07-16 18:01:30
