Flow ID,Throughput (Mbps)
1.000000,0.730377
1.000000,0.750888
1.000000,0.599284
1.000000,0.553802
1.000000,0.674194
2.000000,0.662601
3.000000,0.667060
3.000000,0.686679
3.000000,0.657250
3.000000,0.519914
5.000000,0.716109
5.000000,0.599284
5.000000,0.520806
5.000000,0.702732
5.000000,0.609985
7.000000,0.628713
7.000000,0.304101
7.000000,0.424493
7.000000,0.612661
7.000000,0.002675
