Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
1,1,10.1.3.1,10.1.3.6,1024,842,0.750888,0.472153,17.773438,1.202684,12.834995
5,3,10.1.3.5,10.1.3.6,1024,770,0.686679,0.420660,24.804688,1.060107,12.825017
2,5,10.1.3.2,10.1.3.6,1024,803,0.716109,0.440696,21.582031,1.068036,12.831812
3,7,10.1.3.3,10.1.3.6,1024,3,0.002675,0.307941,99.707031,0.309084,12.772564
4,8,10.1.3.4,10.1.3.6,1024,3,0.002675,0.499497,99.707031,0.500973,12.772565
