Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.010924979854747652],[0.5045666666666667],[0.0011568104175385088],[0.9517],[3286.900058529],74.0104783420083,26091520000,2024-07-11 19:35:46
client 5,[0.008722788889333605],[0.6100166666666667],[0.0013772998633328826],[0.9415],[2990.498274959],67.6253056710029,26091520000,2024-07-11 21:08:27
client 3,[0.007073712565253179],[0.6756833333333333],[0.0008768491216236726],[0.9625],[2825.1362578539997],62.41455807000084,26091520000,2024-07-11 22:31:32
