Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 8,[0.013036571918179592],[0.38961666666666667],[0.0015402120977640152],[0.9387],[2747.0819390469997],63.32789129400669,26091520000,2024-07-12 14:03:20
client 1,[0.007861547702550887],[0.6391833333333333],[0.0010120580411050468],[0.9584],[2763.731866368],59.68653544200269,26091520000,2024-07-12 15:22:33
client 3,[0.005846200561150908],[0.74065],[0.0008374481375562027],[0.9657],[2713.0787954330003],60.87237027000469,26091520000,2024-07-12 16:41:26
client 6,[0.005558823859319091],[0.7500833333333333],[0.0007454693784704432],[0.9694],[2741.005632876],63.95117308398678,26091520000,2024-07-12 18:01:18
