Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.013815862415482601],[0.35988333333333333],[0.0018283922350034118],[0.9308],[2857.8971506069997],66.49218530801014,26091520000,2024-07-10 10:05:03
client 8,[0.008090562053397298],[0.6287333333333334],[0.0010985654959687963],[0.9559],[2479.631928998],59.930952032998796,26091520000,2024-07-10 11:16:49
client 4,[0.00636954765530924],[0.71135],[0.0007496283764136023],[0.9671],[2520.4884538439997],60.78041140101119,26091520000,2024-07-10 12:31:23
client 12,[0.006005718011719485],[0.7306],[0.0008267735751811415],[0.9634],[2475.560823646],60.57655704999972,26091520000,2024-07-10 13:44:27
