Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
5,1,10.1.3.5,10.1.3.6,1024,756,0.674194,0.396461,26.171875,1.162648,12.786152
1,3,10.1.3.1,10.1.3.6,1024,583,0.519914,0.443921,43.066406,1.099154,12.776020
2,5,10.1.3.2,10.1.3.6,1024,584,0.520806,0.432835,42.968750,1.074451,12.772528
4,7,10.1.3.4,10.1.3.6,1024,705,0.628713,0.503684,31.152344,1.167298,12.772915
3,8,10.1.3.3,10.1.3.6,1024,281,0.250593,0.179834,72.558594,0.553855,12.749455
