Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
2,1,10.1.3.2,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.046640,11.762605
1,2,10.1.3.1,10.1.3.6,1024,969,0.864146,0.121248,5.371094,0.407609,12.751302
5,4,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.225957,11.623517
3,5,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.356241,11.623517
4,6,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.789235,11.623517
