Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 9,[0.012460751537481943],[0.4276333333333333],[0.0014784169238060713],[0.9412],[2791.487779429],66.14317154200111,26091520000,2024-07-09 15:22:26
client 5,[0.007096511682309211],[0.6766],[0.0007972258455585688],[0.9667],[3128.342357898],70.28379132698896,26091520000,2024-07-09 16:56:59
client 15,[0.006738722427810232],[0.6929666666666666],[0.0009129496598383412],[0.9595],[2994.39853547],68.62742579399531,26091520000,2024-07-09 18:24:00
client 1,[0.0068600343462079764],[0.68575],[0.001056619020178914],[0.9568],[2600.589162008],60.022652867003586,26091520000,2024-07-09 19:38:02
client 14,[0.005323474601904551],[0.7647833333333334],[0.000884377779206261],[0.9608],[2780.984348687],63.85756295200123,26091520000,2024-07-09 20:57:00
client 3,[0.005428001153841615],[0.7597666666666667],[0.0007721144556067884],[0.9675],[2946.892413444],68.17686675599606,26091520000,2024-07-09 22:27:06
