Client,Flow ID,Source Address,Destination Address,Tx Packets,Rx Packets,Throughput (Mbps),Delay (s),Packet Loss Ratio (%),Transmission Time (s),Energy Consumed (J)
1,1,10.1.3.1,10.1.3.6,1024,994,0.886441,0.354956,2.929688,0.904968,12.826707
5,3,10.1.3.5,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.039241,11.623517
2,4,10.1.3.2,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.064604,12.710561
3,5,10.1.3.3,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.348205,11.623517
4,6,10.1.3.4,10.1.3.6,1024,0,0.000000,inf,100.000000,-2.551340,11.623517
