Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 10,[0.015056827508906523],[0.30056666666666665],[0.002343962159380317],[0.9092],[2839.6932893099997],63.70451727499996,26091520000,2024-07-12 00:00:28
client 1,[0.007827584878355264],[0.6445166666666666],[0.0011596294892020523],[0.9539],[2810.797062448],61.4628974110065,26091520000,2024-07-12 01:19:21
client 12,[0.006403625659644604],[0.7099833333333333],[0.0008761719800531864],[0.9632],[2728.97956274],61.42192102300058,26091520000,2024-07-12 02:39:54
client 4,[0.004955205696759124],[0.7813333333333333],[0.0006828021273948252],[0.9719],[2707.564110163],59.79025705500037,26091520000,2024-07-12 03:58:06
client 3,[0.005133623746347924],[0.7695],[0.0007015268700895831],[0.9684],[2650.342735611],60.5822846709991,26091520000,2024-07-12 05:12:49
client 7,[0.0046306555878991885],[0.7965666666666666],[0.0006471097346395254],[0.972],[2635.697163132],60.066541663999644,26091520000,2024-07-12 06:27:45
client 6,[0.004811624838225543],[0.78765],[0.000892867041187128],[0.96],[2654.387091544],60.935903957005735,26091520000,2024-07-12 07:44:12
client 14,[0.004262618546808759],[0.8143],[0.0006191677597700619],[0.9731],[2705.2536145179997],61.24330505199822,26091520000,2024-07-12 09:03:01
client 11,[0.004641593891351174],[0.7927833333333333],[0.0006417297183885239],[0.9731],[2622.300577948],59.76970268800181,26091520000,2024-07-12 10:19:06
client 8,[0.0047289386767894025],[0.7906333333333333],[0.0008452032918459736],[0.963],[2646.5363374619997],59.615235517993405,26091520000,2024-07-12 11:36:53
