Client,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Processing Time,Comm Time,Comm Data Size,Timestamp
client 1,[0.01355136607165138],[0.37655],[0.002363866749033332],[0.9025],[2782.760513825],62.097318447009286,26091520000,2024-07-12 20:09:56
client 5,[0.008543094568451245],[0.6091333333333333],[0.0010540040386840701],[0.9548],[3096.933812665],68.71484423598977,26091520000,2024-07-12 21:45:13
client 3,[0.006152446951965491],[0.7220333333333333],[0.0009962294378783555],[0.9584],[2970.262687769],65.8192417730066,26091520000,2024-07-12 23:13:41
